CountryName,CountryCode,IndicatorName,IndicatorCode,1960,1961,1962,1963,1964,1965,1966,1967,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017
Aruba,ABW,"Personal remittances, paid (current US$)",BM.TRF.PWKR.CD.DT,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,16480447,4692737,4301676,3687151,4972067,7206704,10000000,11620112,27391061,43743017,39111732,45960894,47636872,49072626,61930745,71864171,73072626,75642458,72960894,64916201,63910615,67821229,66652369,70222692,74978013,71743528,
Afghanistan,AFG,"Personal remittances, paid (current US$)",BM.TRF.PWKR.CD.DT,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,153330566,257128933,402473553,240078367,167729020,274617714,279652435,150409839,118216397,86359034
Angola,AGO,"Personal remittances, paid (current US$)",BM.TRF.PWKR.CD.DT,,,,,,,,,,,,,,,,,,,,,,,,,,79000000,89000000,77000000,71000000,104000000,150000000,124500000,121637000,132900000,148900000,209546000,173802000,179950000,201650000,263070000,266290000,216060000,223507959,229849970,296009591,214905216,412666785,602671451,669453676,715962016,714458886,564261542,2051320868,2395965856,2746615873,1252909012,1176110314,961415276
Albania,ALB,"Personal remittances, paid (current US$)",BM.TRF.PWKR.CD.DT,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4135728,4863740,6511798,26532132,9940000,279697508,229644909,209353148,150755566,215853264,190557695,178667079,153258444,147128145,106256732
Andorra,AND,"Personal remittances, paid (current US$)",BM.TRF.PWKR.CD.DT,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Arab World,ARB,"Personal remittances, paid (current US$)",BM.TRF.PWKR.CD.DT,,,,,,,,,,,,207273315,267808472,391195252,629195808,1376642801,1939672279,3525187311,5205466032,6091302765,7072544827,8910686520,9203241464,9690140968,9212341103,9275799435,8410995231,8251911311,9921022722,12037563949,13914198647,16142240140,16642573420,19441171179,21969647621,20686266649,19447665639,19396284600,19382478424,18531619450,20426443036,20784032006,23920666800,24919634237,24612475735,26087046915,29612132775,36448769450,45708539447,53500974083,54239338089,67661825243,74494429182,85611010545,87016701797,86629559252,84737715870,80742672668
United Arab Emirates,ARE,"Personal remittances, paid (current US$)",BM.TRF.PWKR.CD.DT,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Argentina,ARG,"Personal remittances, paid (current US$)",BM.TRF.PWKR.CD.DT,,,,,,,,,,,,,,,,,,,16000000,28000000,36000000,27000000,18000000,19000000,22000000,18000000,20000000,21000000,45360001,69720001,94080002,118440002,142800000,163100000,176600000,195200000,207300000,231700000,246500000,250300000,267700000,256100000,119550000,180410000,234470000,314010000,356443537,463192097,631436069,766571548,1037765446,1137054506,979205922,887803487,732414557,685001366,823565672,1036516997
Armenia,ARM,"Personal remittances, paid (current US$)",BM.TRF.PWKR.CD.DT,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,31400000,37190000,3210000,8045000,3520000,18080000,22791214,25591178,184166845,207369058,182059933,238832731,223597467,180494516,227429876,300394193,314788692,355297861,390589979,363788469,358015507,367506237
American Samoa,ASM,"Personal remittances, paid (current US$)",BM.TRF.PWKR.CD.DT,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Antigua and Barbuda,ATG,"Personal remittances, paid (current US$)",BM.TRF.PWKR.CD.DT,,,,,,,,,,,,,,,,,,,,,,,,,,,11148149,10925926,4314815,9474074,6311111,7867901,9424691,10981481,8396296,7859259,2051852,1111111,1085185,1581852,1558148,1564444,1411481,1489293,1566737,1670141,1837155,2131100,2367652,2122363,2066960,2047116,2157661,2222448,37418395,52822644,54742927,50038549
Australia,AUS,"Personal remittances, paid (current US$)",BM.TRF.PWKR.CD.DT,,,,,,,,,,,66080009,83962074,122832298,193900330,213557098,222246445,211665604,208692459,247260422,273925995,303632507,365259888,365698914,381575409,403232727,311754456,291884247,340696655,428584076,555251221,601367467,522617129,457806050,441562934,487695522,570167764,728177754,771092538,796700673,870854803,868990624,855078367,991488492,1380807138,1608966510,1531079216,2051227219,2980870874,3366427027,3224401182,4655461397,6597638171,7084418882,6966095311,6767306885,6054990681,6196272963,6766341672
Austria,AUT,"Personal remittances, paid (current US$)",BM.TRF.PWKR.CD.DT,,,,,,,,,,,24692307,46596699,98605583,181810547,271194153,243576325,232826538,239277359,187292374,231978363,334470337,285688446,265836182,214980118,194567581,189676163,224538681,228747101,251341339,302310730,319779053,415871521,206126343,288913971,292412140,345817108,346233948,342774262,932067505,1370329468,1298060059,1421891113,1517669556,1874189575,2227846924,2119578269,2301257853,2592561158,2985151475,2906772818,2990633136,3620474705,3451974791,3895857836,4961062396,4748475188,5050127054,5475093165
Azerbaijan,AZE,"Personal remittances, paid (current US$)",BM.TRF.PWKR.CD.DT,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9310000,14861000,19039000,30272000,77030000,100962000,141882000,187881000,131284000,172305000,239397000,274348000,404535000,567345000,638101000,953589000,1279630000,2072681000,1902602000,2031324000,1293019000,740236000,603318000
Burundi,BDI,"Personal remittances, paid (current US$)",BM.TRF.PWKR.CD.DT,,,,,,,,,,,,,,,,,,,,,,,,,,8542494,6998270,8797072,5940382,5376050,5313701,4363334,6821804,5997199,3930144,4496361,4508720,2332902,2158494,2087967,2463668,2355624,2825144,3267998,330639,193606,206186,225443,241800,1114228,4957959,6163321,5235127,6978499,14846058,21041437,19085453,15722808
