CountryName,CountryCode,IndicatorName,IndicatorCode,1960,1961,1962,1963,1964,1965,1966,1967,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017
Aruba,ABW,"Personal remittances, received (current US$)",BX.TRF.PWKR.CD.DT,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2569832,2625698,3351955,3910614,1340782,1620112,1843575,1620112,608939,1083799,1335196,1329609,273743,1458101,819846,1036166,5195531,6759777,9050279,4972067,5307263,4860335,6337951,7465211,8083713,7490433,7723418
Afghanistan,AFG,"Personal remittances, received (current US$)",BX.TRF.PWKR.CD.DT,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,76298328,106800436,362010493,178951663,204432326,329226634,249788573,341311421,368030030,378240417
Angola,AGO,"Personal remittances, received (current US$)",BX.TRF.PWKR.CD.DT,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5142000,,,,,,,,,,,,82084000,162359,17972037,204751,40348854,36637411,30971119,11114712,3988048,1418196
Albania,ALB,"Personal remittances, received (current US$)",BX.TRF.PWKR.CD.DT,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,151800000,332000000,307100000,427300000,550900000,300300000,504140000,407200000,597800000,699300000,733570000,888748582,1160672105,1289704316,1359467325,1468020000,1865574188,1716130304,1586925580,1551123786,1420282798,1281914066,1420535453,1290350891,1305750161,1310873388
Andorra,AND,"Personal remittances, received (current US$)",BX.TRF.PWKR.CD.DT,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Arab World,ARB,"Personal remittances, received (current US$)",BX.TRF.PWKR.CD.DT,,,,,,,,,,,211000000,238000000,247719978,269739208,276823418,966117778,1355695710,2637034422,4405529374,5563872498,6403246145,5907729369,5862270294,7173076351,7371483942,6449093711,6277412014,7601042249,7479027556,6950298995,9699913089,9774454435,12849686882,11791714151,10391224182,10655741100,10697809478,11492129404,11922113929,11621826045,11476946813,12851715142,15829429504,20315426611,23393248045,22640971319,24459692899,29515033716,33883862249,31754287807,37780561643,40567261800,47556161314,48972748689,54708467874,50979518749,51123761445,55350899796
United Arab Emirates,ARE,"Personal remittances, received (current US$)",BX.TRF.PWKR.CD.DT,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Argentina,ARG,"Personal remittances, received (current US$)",BX.TRF.PWKR.CD.DT,,,,,,,,,,,,,,,,,,,26000000,42000000,56000000,42000000,28000000,28000000,32000000,27000000,32000000,34000000,30280001,26559999,22840000,19120001,15400000,57700001,62400002,63600000,65000000,65700000,68500000,64300000,86343659,189600000,206630000,273420000,311780000,432090000,540635442,606498927,705144403,628542376,644300740,697379575,577532962,535004409,505346892,494433532,538999391,570319414
Armenia,ARM,"Personal remittances, received (current US$)",BX.TRF.PWKR.CD.DT,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,71350000,153730000,228986400,166647970,182652132,182160000,209240000,263890000,335860000,787519510,915231162,1169173063,1644375091,1904067123,1439809232,1669336819,1798624692,1914983997,2192193827,2078618315,1491475903,1382330887,1538655752
American Samoa,ASM,"Personal remittances, received (current US$)",BX.TRF.PWKR.CD.DT,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Antigua and Barbuda,ATG,"Personal remittances, received (current US$)",BX.TRF.PWKR.CD.DT,,,,,,,,,,,,,,,,,,,,,,,,,,,11185185,11744445,12337037,13196297,12533334,3048148,2714815,11629630,11948148,3333333,8940741,9537037,18755556,18394444,17342963,23676667,14242167,16372237,17601626,18305489,19325720,20783287,21828403,20658719,20197667,20292610,20856220,21127351,24305891,31244412,26705676,32852676
Australia,AUS,"Personal remittances, received (current US$)",BX.TRF.PWKR.CD.DT,,,,,,,,,,,180320038,176046509,228958923,280555023,308759125,286614197,305269104,326544830,415642853,495797180,631592773,740711548,771140442,900273193,956123474,1009029114,1053348999,1396266846,1884704224,2402261230,2369583740,2484919434,1926091797,1101867798,1276966675,438888326,517894424,538747822,501585257,531812424,518334053,486744686,465722534,651572145,824729101,940407767,1014841491,1341851616,1526025147,1334648953,1864472761,2449287569,2405316867,2389397584,2292096914,2173205676,2055378172,2001928453
Austria,AUT,"Personal remittances, received (current US$)",BX.TRF.PWKR.CD.DT,,,,,,,,,,,16576923,24760214,36248192,52594650,80947891,87247398,105288040,118988022,154029663,198398651,244725067,223906967,220660126,214508591,197660034,201390884,303058472,400337341,448963898,469524231,634832336,772377197,815280884,768971069,844941223,1012422485,984293640,915090698,1416633179,1809788330,1804517334,1774000488,1985329834,2496145508,2520989014,2314592277,2516186297,2916148987,3189874409,3099130505,2984175536,3248735269,3029287105,3261615417,3238957379,2862546684,2927785127,2993048744
Azerbaijan,AZE,"Personal remittances, received (current US$)",BX.TRF.PWKR.CD.DT,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3000000,4098000,5196000,6294000,54492000,57132000,104125000,163317000,155957000,203578000,623235000,790214000,1267735000,1518327000,1254645000,1410296000,1893080000,1990180000,1733168000,1846424000,1269964000,643148000,1133371000
Burundi,BDI,"Personal remittances, received (current US$)",BX.TRF.PWKR.CD.DT,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,41784,71562,11471,189949,3645217,28232148,34498930,45463177,46433649,48639474,56262591,51041087,31276058,33650115
